Date,User,Tweet,newTweet,newTweet1,tokens
2014-05-12 11:04:11+00:00,narendramodi,Congratulations to the people of Seemandhra &amp; Telangana for giving favourable results today in municipal elections for the TDP &amp; BJP.,Congratulations people Seemandhra Telangana giving favourable results today municipal elections TDP BJP,Congratulations people Seemandhra Telangana giving favourable results today municipal elections TDP BJP,congratulations people seemandhra telangana give favourable result today municipal elections tdp bjp
2014-05-12 06:00:57+00:00,narendramodi,All those voting in today's phase- Have you voted? If not please go to the polling booth! Sharing my video message http://t.co/ZNxmuFfdxw,voting today phase voted please go polling booth Sharing video message http co ZNxmuFfdxw,voting today phase voted please go polling booth Sharing video message co ZNxmuFfdxw,vote today phase vote poll booth share video message znxmuffdxw
2014-05-12 06:00:01+00:00,narendramodi,Met Chhattisgarh CM @drramansingh in Gandhinagar http://t.co/XBdCiOpglS,Mate Chhattisgarh com darramansingh Gandhinagar http co sbdkiaapgals,Mate Chhattisgarh com darramansingh Gandhinagar co sbdkiaapgals,mate chhattisgarh com darramansingh gandhinagar sbdkiaapgals
2014-05-12 01:45:46+00:00,narendramodi,My special request to the youth - go out &amp; vote and take your family and friends along to the polling booth!,special request youth go vote take family friends along polling booth,special request youth go vote take family friends along polling booth,special request youth vote family friends poll booth
2014-05-11 14:24:31+00:00,narendramodi,The legal fraternity has lost a strong pillar in Shri Tarakant Jha. He will also be remembered for his passion towards Maithili language.,legal fraternity lost strong pillar Shri Tarakant Jha also remembered passion towards Maithili language,legal fraternity lost strong pillar Shri Tarakant Jha also remembered passion towards Maithili language,egal fraternity lose strong pillar shri tarakant jha remember passion maithili language
2014-05-11 14:23:34+00:00,narendramodi,In Shri Tarakant Jha we lost a dedicated leader who played an instrumental role in building the BJP. May his soul rest in peace.,Shri Tarakant Jha lost dedicated leader played instrumental role building BJP May soul rest peace,Shri Tarakant Jha lost dedicated leader played instrumental role building BJP May soul rest peace,shri tarakant jha lose dedicate leader play instrumental role build bjp soul rest peace
2014-05-11 05:05:04+00:00,narendramodi,Also sharing my speech at International Conference on Defence Offsets during last year's Vibrant Gujarat Summit http://t.co/0TfLvZRHEh,Also sharing speech International Conference Defence Offsets last year Vibrant Gujarat Summit http co 0TfLvZRHEh,Also sharing speech International Conference Defence Offsets last year Vibrant Gujarat Summit co 0TfLvZRHEh,share speech international conference defence offset year vibrant gujarat summit tflvzrheh
2014-05-11 05:04:13+00:00,narendramodi,Our Scientists are our strength and will help shape our future in this Knowledge Era with both Defence and Civilian Impact.,Scientists strength help shape future Knowledge Era Defence Civilian Impact,Scientists strength help shape future Knowledge Era Defence Civilian Impact,scientists strength help shape future knowledge era defence civilian impact
2014-05-11 05:03:47+00:00,narendramodi,"Today, we should think on how India can become self-sufficient in defence manufacturing. How can we strengthen R&amp;D in defence sector.",Today think India become self sufficient defence manufacturing strengthen R defence sector,Today think India become self sufficient defence manufacturing strengthen R defence sector,today think india self sufficient defence manufacture strengthen defence sector
2014-05-11 05:02:50+00:00,narendramodi,NDA's foreign policy also ensured that those nations opposed to India testing gradually developed strong ties with India in various fields.,NDA foreign policy also ensured nations opposed India testing gradually developed strong ties India various fields,NDA foreign policy also ensured nations opposed India testing gradually developed strong ties India various fields,nda foreign policy ensure nations oppose india test gradually develop strong tie india field
2014-05-11 05:02:28+00:00,narendramodi,Tests of 1998 were a victory of technology &amp; the nation's willpower. Our scientists worked very hard to develop Nuclear Programme.,Tests 1998 victory technology nation willpower scientists worked hard develop Nuclear Programme,Tests 1998 victory technology nation willpower scientists worked hard develop Nuclear Programme,test victory technology nation willpower scientists work hard develop nuclear programme
2014-05-11 05:01:48+00:00,narendramodi,Sharing my last year's Blog that contains portions of Atal ji's historic speech of 1998 http://t.co/K6ak4zPXC4,Sharing last year Blog contains portions Atal ji historic speech 1998 http co K6ak4zPXC4,Sharing last year Blog contains portions Atal ji historic speech 1998 co K6ak4zPXC4,share year blog contain portion atal historic speech kakzpxc
2014-05-11 05:01:31+00:00,narendramodi,"Under Atal ji, India scripted a new chapter in our history &amp; gave a strong message to the world with the success of the Tests in Pokhran.",Atal ji India scripted new chapter history gave strong message world success Tests Pokhran,Atal ji India scripted new chapter history gave strong message world success Tests Pokhran,atal india script new chapter history give strong message world success test pokhra
2014-05-11 05:01:11+00:00,narendramodi,"My greetings to the nation &amp; the scientist community on National Technology Day, marking the anniversary of the Pokhran Tests of 1998.",greetings nation scientist community National Technology Day marking anniversary Pokhran Tests 1998,greetings nation scientist community National Technology Day marking anniversary Pokhran Tests 1998,greet nation scientist community national technology day mark anniversary pokhran test
2014-05-10 15:13:02+00:00,narendramodi,There is something in India's soil that makes India special. Our destined role of Jagat Guru calls. Lets create a strong &amp; developed India!,something India soil makes India special destined role Jagat Guru calls Lets create strong developed India,something India soil makes India special destined role Jagat Guru calls Lets create strong developed India,india soil make india special destine role jagat guru call let create strong develop india
2014-05-10 15:12:19+00:00,narendramodi,I am overwhelmed by people's response! I assure them we will repay their affection with unprecedented development.,overwhelmed people response assure repay affection unprecedented development,overwhelmed people response assure repay affection unprecedented development,overwhelm people response assure repay affection unprecedented development
2014-05-10 15:11:45+00:00,narendramodi,"8 months, 5800+ rallies, Charchas, programmes, 3 lakh+ KMs…an extensive, innovative &amp; satisfying journey. My blog http://t.co/6MLdibQpNB",8 months 5800 rallies Charchas programmes 3 lakh KMs extensive innovative satisfying journey blog http co 6MLdibQpNB,8 months 5800 rallies Charchas programmes 3 lakh KMs extensive innovative satisfying journey blog co 6MLdibQpNB,months rally charchas program lakh kms extensive innovative satisfy journey blog mldibqpnb
2014-05-10 12:18:10+00:00,narendramodi,Give BJP all seats from UP &amp; give us the opportunity to take UP &amp; India's development journey to newer heights http://t.co/Rc2xG9e4De,Give BJP seats give us opportunity take India development journey newer heights http co Rc2xG9e4De,Give BJP seats give us opportunity take India development journey newer heights co Rc2xG9e4De,bjp seat opportunity india development journey newer heights rcxgede
2014-05-10 12:16:32+00:00,narendramodi,UP has won me over! I have received tremendous affection from people of UP during the entire campaign. My gratitude to the people of UP.,received tremendous affection people entire campaign gratitude people,received tremendous affection people entire campaign gratitude people,receive tremendous affection people entire campaign gratitude people
2014-05-10 12:16:03+00:00,narendramodi,"SP, BSP &amp; Congress can't do good for people of UP. They are 1 &amp; are immersed in corruption &amp; votebank politics http://t.co/kcsyqLS0fm",SP BSP Congress good people 1 immersed corruption votebank politics http co kcsyqLS0fm,SP BSP Congress good people 1 immersed corruption votebank politics co kcsyqLS0fm,bsp congress good people immerse corruption votebank politics kcsyqlsfm
2014-05-10 12:15:34+00:00,narendramodi,Another picture from Robertsganj http://t.co/KGNF4ecA8N,Another picture Robertsganj http co KGNF4ecA8N,Another picture Robertsganj co KGNF4ecA8N,picture robertsganj kgnfecan
2014-05-10 12:14:53+00:00,narendramodi,Here is a glimpse of the rally in Robertsganj in UP earlier in the day http://t.co/kxIq8Al99K http://t.co/JxoPcpkHDh,glimpse rally Robertsganj earlier day http co kxIq8Al99K http co JxoPcpkHDh,glimpse rally Robertsganj earlier day co kxIq8Al99K co JxoPcpkHDh,glimpse rally robertsganj earlier day kxiqalk jxopcpkhdh
2014-05-10 12:13:01+00:00,narendramodi,Concluded the campaign for 2014 Lok Sabha elections with a massive rally in Ballia in UP. I thank people for the wonderful response.,Concluded campaign 2014 Lok Sabha elections massive rally Ballia thank people wonderful response,Concluded campaign 2014 Lok Sabha elections massive rally Ballia thank people wonderful response,conclude campaign lok sabha elections massive rally ballia thank people wonderful response
2014-05-10 04:36:39+00:00,narendramodi,On the final day of the campaign will address 5 rallies across UP. Concluding rally will be in Ballia http://t.co/nwdEgjVEhj,final day campaign address 5 rallies across Concluding rally Ballia http co nwdEgjVEhj,final day campaign address 5 rallies across Concluding rally Ballia co nwdEgjVEhj,final day campaign address rally conclude rally ballia nwdegjvehj
2014-05-09 18:10:35+00:00,narendramodi,छोटी उम्र में शहीद हुए मुन्ना श्रीवास्तव की पत्नी की इस प्रतिज्ञा ने मुझे अंदर तक झकझोर कर रख  दिया| ऐसे लाखों तपस्वियों को मेरा प्रणाम |,pledge wife Munna Srivastava martyred young age shook core salutations lakhs ascetics,pledge wife Munna Srivastava martyred young age shook core salutations lakhs ascetics,pledge wife munna srivastava martyr young age shake core salutations lakhs ascetics
2014-05-09 18:08:55+00:00,narendramodi,श्रीमती प्रिया श्रीवास्तव ने बताया की 16 मई तक उसने एक समय का भोजन त्याग रखा है | भाजपा की विजय के समाचार सुन कर ही अपना व्रत तोड़ेगी |,Mrs Priya Srivastava told given one meal till May 16 break fast hearing news BJP victory,Mrs Priya Srivastava told given one meal till May 16 break fast hearing news BJP victory,mrs priya srivastava tell give meal till break fast hear news bjp victory
2014-05-09 18:07:49+00:00,narendramodi,आज गोपालगंज की चुनावी सभा में पटना रैली बम-ब्लास्ट में शहीद हुए मुन्ना श्रीवास्तव की पत्नी प्रिया श्रीवास्तव और बेटी सोनाक्षी से मिलना हुआ |,Met Priya Srivastava wife Munna Srivastava daughter Sonakshi martyred Patna rally bomb blast election rally Gopalganj today,Met Priya Srivastava wife Munna Srivastava daughter Sonakshi martyred Patna rally bomb blast election rally Gopalganj today,meet priya srivastava wife munna srivastava daughter sonakshi martyr patna rally bomb blast election rally gopalganj today
2014-05-09 16:26:28+00:00,narendramodi,Urged all those voting in last phase to set a new record by voting in large numbers http://t.co/eLTZwRXsez,Urged voting last phase set new record voting large numbers http co eLTZwRXsez,Urged voting last phase set new record voting large numbers co eLTZwRXsez,urge vote phase set new record vote large number eltzwrxsez
2014-05-09 16:25:35+00:00,narendramodi,Today I was in UP &amp; Bihar and one has to be there at the rallies to believe the enthusiasm. People are looking to NDA as a ray of hope.,Today Bihar one rallies believe enthusiasm People looking NDA ray hope,Today Bihar one rallies believe enthusiasm People looking NDA ray hope,today bihar rally believe enthusiasm people look nda ray hope
2014-05-09 16:25:10+00:00,narendramodi,There are people sitting in AC rooms who say we are fatigued due to duration of polls but mood on the ground suggests otherwise.,people sitting AC rooms fatigued due duration polls mood ground suggests otherwise,people sitting AC rooms fatigued due duration polls mood ground suggests otherwise,people sit room fatigue duration poll mood grind suggest
2014-05-09 16:24:25+00:00,narendramodi,"Despite Congress efforts to bring caste &amp; communal politics in campaign, we remained focussed on our agenda of development &amp; good governance",Despite Congress efforts bring caste communal politics campaign remained focussed agenda development good governance,Despite Congress efforts bring caste communal politics campaign remained focussed agenda development good governance,despite congress efforts bring caste communal politics campaign remain focus agenda development good governance
2014-05-09 16:24:00+00:00,narendramodi,From Day 1 Congress' attitude to Elections has been non-serious. They talked about everything apart from core issues &amp; what they did in Govt,Day 1 Congress attitude Elections non serious talked everything apart core issues Govt,Day 1 Congress attitude Elections non serious talked everything apart core issues Govt,day congress attitude elections non talk apart core issue govt
2014-05-09 16:23:36+00:00,narendramodi,I thank everyone who has tirelessly worked for the success of the 3D rallies! These rallies would not be possible without their efforts.,thank everyone tirelessly worked success 3D rallies rallies would possible without efforts,thank everyone tirelessly worked success 3D rallies rallies would possible without efforts,thank tirelessly work success rally rally possible efforts
2014-05-09 16:23:09+00:00,narendramodi,Today was the final round of the Bharat Vijay 3D rallies. In all the rounds I addressed people from over 1300 locations across India.,Today final round Bharat Vijay 3D rallies rounds addressed people 1300 locations across India,Today final round Bharat Vijay 3D rallies rounds addressed people 1300 locations across India,today final round bharat vijay rally round address people locations india
2014-05-09 13:36:31+00:00,narendramodi,Today will address the final round of Bharat Vijay 3D rallies. Don't miss this once in a lifetime experience http://t.co/8M4BOWSQ8C,Today address final round Bharat Vijay 3D rallies miss lifetime experience http co 8M4BOWSQ8C,Today address final round Bharat Vijay 3D rallies miss lifetime experience co 8M4BOWSQ8C,today address final round bharat vijay rally miss lifetime experience mbowsqc
2014-05-09 13:35:34+00:00,narendramodi,"In Siwan I asked people if they want those days to return when criminals were given a free hand, they answered NO! http://t.co/ege8IogsMG",Siwan asked people want days return criminals given free hand answered http co ege8IogsMG,Siwan asked people want days return criminals given free hand answered co ege8IogsMG,siwan ask people want days return criminals give free hand answer egeiogsmg
2014-05-09 13:33:15+00:00,narendramodi,Kerala Minister who came to meet me was reprimanded. Cong leader wanted Lata ji's Bharat Ratna taken back.This is politics of untouchability,Kerala Minister came meet reprimanded Cong leader wanted Lata ji Bharat Ratna taken back politics untouchability,Kerala Minister came meet reprimanded Cong leader wanted Lata ji Bharat Ratna taken back politics untouchability,kerala minister come meet reprimand cong leader want lata bharat ratna take politics untouchability
2014-05-09 13:31:13+00:00,narendramodi,If someone does politics of untouchability it is the Congress &amp; those who made their political careers by following votebank politics.,someone politics untouchability Congress made political careers following votebank politics,someone politics untouchability Congress made political careers following votebank politics,politics untouchability congress political career follow votebank politics
2014-05-09 13:30:43+00:00,narendramodi,"As a Party President, using terms like ""Unch"" &amp; ""Neech"" does not suit Madam. Is the fear of defeat so much that she has to say such things?",Party President using terms like Unch Neech suit Madam fear defeat much things,Party President using terms like Unch Neech suit Madam fear defeat much things,party president term like unch neech suit madam fear defeat things
2014-05-09 13:30:12+00:00,narendramodi,"Mirzapur's brass, carpet &amp; handloom industry face many problems &amp; brick kilns are not running. What have UP Govt. &amp; Centre done about it?",Mirzapur brass carpet handloom industry face many problems brick kilns running Govt Centre done,Mirzapur brass carpet handloom industry face many problems brick kilns running Govt Centre done,mirzapur brass carpet handloom industry face problems brick kilns run govt centre
2014-05-09 13:29:00+00:00,narendramodi,Addressed rallies in UP &amp; Bihar. Here is a picture from Mirzapur rally http://t.co/1fohtzXkwI http://t.co/EShpkDXjGD,Addressed rallies Bihar picture Mirzapur rally http co 1fohtzXkwI http co EShpkDXjGD,Addressed rallies Bihar picture Mirzapur rally co 1fohtzXkwI co EShpkDXjGD,address rally bihar picture mirzapur rally fohtzxkwi eshpkdxjgd
2014-05-08 18:00:45+00:00,narendramodi,Before the Rohaniya rally I addressed 3 rallies in UP. Here are the highlights http://t.co/mTuSm3mSAN,Rohaniya rally addressed 3 rallies highlights http co mTuSm3mSAN,Rohaniya rally addressed 3 rallies highlights co mTuSm3mSAN,rohaniya rally address rally highlight mtusmmsan
2014-05-08 18:00:11+00:00,narendramodi,A video was shared in Rohaniya on how Sabarmati's glory is restored. We are committed to do the same with Ganga http://t.co/No7UBhW2CM,video shared Rohaniya Sabarmati glory restored committed Ganga http co No7UBhW2CM,video shared Rohaniya Sabarmati glory restored committed Ganga co No7UBhW2CM,video share rohaniya sabarmati glory restore commit ganga noubhwcm
2014-05-08 17:59:14+00:00,narendramodi,"From tourism to giving better opportunities to Varanasi's weavers, there is lots to be done &amp; am sure with our efforts we will succeed.",tourism giving better opportunities Varanasi weavers lots done sure efforts succeed,tourism giving better opportunities Varanasi weavers lots done sure efforts succeed,tourism give better opportunities varanasi weavers lot sure efforts succeed
2014-05-08 17:57:15+00:00,narendramodi,Paid tributes to Shri Sone Lal Patel...have fond memories of interacting with him. Am sure he would be proud of Statue of Unity initiative.,Paid tributes Shri Sone Lal Patel fond memories interacting sure would proud Statue Unity initiative,Paid tributes Shri Sone Lal Patel fond memories interacting sure would proud Statue Unity initiative,pay tributes shri sone lal patel fond memories interact sure proud statue unity initiative
2014-05-08 17:55:57+00:00,narendramodi,At the Rohaniya rally Col. Nizamuddin joined us. He is over 100 years old &amp; devoted his life to the nation by joining the Azad Hind Fauj.,Rohaniya rally Col Nizamuddin joined us 100 years old devoted life nation joining Azad Hind Fauj,Rohaniya rally Col Nizamuddin joined us 100 years old devoted life nation joining Azad Hind Fauj,rohaniya rally col nizamuddin join years old devote life nation join azad hind fauj
2014-05-08 17:54:29+00:00,narendramodi,I salute the hardwork &amp; determination of our Karyakartas of Varanasi who are selflessly devoted to giving BJP a record win from Varanasi.,salute hardwork determination Karyakartas Varanasi selflessly devoted giving BJP record win Varanasi,salute hardwork determination Karyakartas Varanasi selflessly devoted giving BJP record win Varanasi,salute hardwork determination karyakartas varanasi selflessly devote give bjp record win varanas
2014-05-08 17:53:44+00:00,narendramodi,I am deeply grateful to people of Varanasi for their affection http://t.co/aE5oOcOHCO,deeply grateful people Varanasi affection http co aE5oOcOHCO,deeply grateful people Varanasi affection co aE5oOcOHCO,deeply grateful people varanasi affection aeoocohco
2014-05-08 17:51:23+00:00,narendramodi,A picture from the Rohaniya rally http://t.co/Q7Q1KqEDK2,picture Rohaniya rally http co Q7Q1KqEDK2,picture Rohaniya rally co Q7Q1KqEDK2,picture rohaniya rally qqkqedk
2014-05-08 17:50:37+00:00,narendramodi,Joined the rally in Rohaniya &amp; visited Party Office in Varanasi city http://t.co/hWqnTKeKtm,Joined rally Rohaniya visited Party Office Varanasi city http co hWqnTKeKtm,Joined rally Rohaniya visited Party Office Varanasi city co hWqnTKeKtm,join rally rohaniya visit party office varanasi city hwqntkektm
2014-05-08 10:30:39+00:00,narendramodi,"Amazing atmosphere at the rally in Rohaniya, which is a part of Varanasi Lok Sabha Seat. Join http://t.co/hnqiK86wEx",Amazing atmosphere rally Rohaniya part Varanasi Lok Sabha Seat Join http co hnqiK86wEx,Amazing atmosphere rally Rohaniya part Varanasi Lok Sabha Seat Join co hnqiK86wEx,amaze atmosphere rally rohaniya varanasi lok sabha seat join hnqikwex
2014-05-08 02:55:18+00:00,narendramodi,My profound apologies to Ganga Maa for not being able to perform Aarti today. Wish these people know that a Mother's love is above politics.,profound apologies Ganga Maa able perform Aarti today Wish people know Mother love politics,profound apologies Ganga Maa able perform Aarti today Wish people know Mother love politics,profound apologies ganga maa able perform aarti today wish people know mother love politics
2014-05-08 02:54:57+00:00,narendramodi,I appeal to my Karyakarta sisters &amp; brothers to maintain peace &amp; ensure that people do not face any difficulty.,appeal Karyakarta sisters brothers maintain peace ensure people face difficulty,appeal Karyakarta sisters brothers maintain peace ensure people face difficulty,appeal karyakarta sisters brothers maintain peace ensure people face difficulty
2014-05-08 02:54:22+00:00,narendramodi,It is unfortunate that EC is not concerned about the institution's neutrality &amp; that is why our Karyakartas have to embark on a Satyagraha.,unfortunate EC concerned institution neutrality Karyakartas embark Satyagraha,unfortunate EC concerned institution neutrality Karyakartas embark Satyagraha,unfortunate concern institution neutrality karyakartas embark satyagraha
2014-05-07 16:32:31+00:00,narendramodi,Here are highlights of my campaign in Bihar today. It is clear Bihar is going to vote for development &amp; stability http://t.co/KXGVRQT5NB,highlights campaign Bihar today clear Bihar going vote development stability http co KXGVRQT5NB,highlights campaign Bihar today clear Bihar going vote development stability co KXGVRQT5NB,highlight campaign bihar today clear bihar go vote development stability kxgvrqtnb
2014-05-07 16:31:26+00:00,narendramodi,"People of Bengal should bless NDA, which is fully committed towards well-being of West Bengal &amp; its youth http://t.co/twtceQE7v2",People Bengal bless NDA fully committed towards well West Bengal youth http co twtceQE7v2,People Bengal bless NDA fully committed towards well West Bengal youth co twtceQE7v2,people bengal bless nda fully commit west bengal youth twtceqev
2014-05-07 16:31:02+00:00,narendramodi,Didi wanted Bangladeshi infiltrators removed in 2005. Now due to votebank politics she supports them. People didn't expect such Poriborton!,Didi wanted Bangladeshi infiltrators removed 2005 due votebank politics supports People expect Poriborton,Didi wanted Bangladeshi infiltrators removed 2005 due votebank politics supports People expect Poriborton,didi want bangladeshi infiltrators remove votebank politics support people expect poriborto
2014-05-07 16:30:36+00:00,narendramodi,"We admired Didi for the way she fought the Left. People of Bengal expected Poriborton but nothing has changed in last 3 yrs, only Didi has.",admired Didi way fought Left People Bengal expected Poriborton nothing changed last 3 yrs Didi,admired Didi way fought Left People Bengal expected Poriborton nothing changed last 3 yrs Didi,admire didi way fight leave people bengal expect poriborton change yrs
2014-05-07 16:29:54+00:00,narendramodi,"Addressed rallies in Kolkata, Barasat &amp; Krishnanagar. I have received phenomenal affection from people of Bengal during the entire campaign.",Addressed rallies Kolkata Barasat Krishnanagar received phenomenal affection people Bengal entire campaign,Addressed rallies Kolkata Barasat Krishnanagar received phenomenal affection people Bengal entire campaign,address rally kolkata barasat krishnanagar receive phenomenal affection people bengal entire campaig
2014-05-07 03:25:54+00:00,narendramodi,"I also call upon those voting in Assembly polls in AP &amp; those voting in Assembly by-polls in Bihar, HP, UP &amp; WB to vote in record numbers.",also call upon voting Assembly polls AP voting Assembly polls Bihar HP WB vote record numbers,also call upon voting Assembly polls AP voting Assembly polls Bihar HP WB vote record numbers,vote assembly poll vote assembly poll bihar vote record number
2014-05-07 03:24:10+00:00,narendramodi,Polling for 64 seats across 7 states is underway. I hope people will vote in large numbers &amp; youngsters will show the way in doing so.,Polling 64 seats across 7 states underway hope people vote large numbers youngsters show way,Polling 64 seats across 7 states underway hope people vote large numbers youngsters show way,poll seat state underway hope people vote large number youngsters way
2014-05-06 16:22:57+00:00,narendramodi,"NDA is firmly committed to creating a Skilled India, breaking away from the Scam India under UPA's misrule http://t.co/Rbb9fLz4gj",NDA firmly committed creating Skilled India breaking away Scam India UPA misrule http co Rbb9fLz4gj,NDA firmly committed creating Skilled India breaking away Scam India UPA misrule co Rbb9fLz4gj,nda firmly commit create skilled india break away scam india upa misrule rbbflzgj
2014-05-06 16:22:14+00:00,narendramodi,"Its a pity some minds can't see beyond balloons &amp; toffees. Today, their own Govt. has given what they call ""toffee"" yet another trophy!",pity minds see beyond balloons toffees Today Govt given call toffee yet another trophy,pity minds see beyond balloons toffees Today Govt given call toffee yet another trophy,pity mind balloon toffees today govt give toffee trophy
2014-05-06 16:20:47+00:00,narendramodi,The report also notes simplicity of the process &amp; the fact that its done with minimum Govt. interference &amp; it ensures good return to farmers,report also notes simplicity process fact done minimum Govt interference ensures good return farmers,report also notes simplicity process fact done minimum Govt interference ensures good return farmers,report note simplicity process fact minimum govt interference ensure good return farmers
2014-05-06 16:19:14+00:00,narendramodi,The Report lauds Guj's land Acquisition &amp; Allocation model as a best practice that can be emulated by other states http://t.co/ymBL06DZso,Report lauds Guj land Acquisition Allocation model best practice emulated states http co ymBL06DZso,Report lauds Guj land Acquisition Allocation model best practice emulated states co ymBL06DZso,report laud guj land acquisition allocation model best practice emulate state ymbldzso
2014-05-06 16:18:15+00:00,narendramodi,I wish my friends in the Congress who keep abusing Gujarat would have read their own Govt's report that has lauded Gujarat's development.,wish friends Congress keep abusing Gujarat would read Govt report lauded Gujarat development,wish friends Congress keep abusing Gujarat would read Govt report lauded Gujarat development,wish friends congress abuse gujarat read govt report laud gujarat development
2014-05-06 16:17:58+00:00,narendramodi,Campaign for 2014 Elections is reaching its final stages but no Congress leader has talked about development issues. Very sad.,Campaign 2014 Elections reaching final stages Congress leader talked development issues sad,Campaign 2014 Elections reaching final stages Congress leader talked development issues sad,campaign elections reach final stag congress leader talk development issue sad
2014-05-06 16:17:36+00:00,narendramodi,Connected with people voting in final phase during today's 3D rallies. My thanks to people from over 100 locations who joined the rallies.,Connected people voting final phase today 3D rallies thanks people 100 locations joined rallies,Connected people voting final phase today 3D rallies thanks people 100 locations joined rallies,connect people vote final phase today rally thank people locations join rally
2014-05-06 13:25:31+00:00,narendramodi,Will address a round of 3D rallies. Join http://t.co/kkDu5U7Jhi,address round 3D rallies Join http co kkDu5U7Jhi,address round 3D rallies Join co kkDu5U7Jhi,address round rally join kkduujh
2014-05-06 13:25:06+00:00,narendramodi,Back from the campaign in UP. Addressed 4 large rallies. Here are the highlights from the campaign http://t.co/BWnVvJZlQ9,Back campaign Addressed 4 large rallies highlights campaign http co BWnVvJZlQ9,Back campaign Addressed 4 large rallies highlights campaign co BWnVvJZlQ9,campaign address large rally highlight campaign bwnvvjzlq
2014-05-06 03:51:04+00:00,narendramodi,इसी ‘नीच राजनीति’ की ऊँचाई भारत माँ को एक समृद्ध और शक्तिशाली राष्ट्र के रूप में विश्व में स्थान दिलाने की ताकत रखती है |,height low politics power give Mother India place world prosperous powerful nation,height low politics power give Mother India place world prosperous powerful nation,height low politics power mother india place world prosperous powerful natio
2014-05-06 03:50:40+00:00,narendramodi,इसी ‘नीच राजनीति’ की ऊँचाई पिछले ६० सालो के कुशासन और वोट बैंक की राजनीति से भारत को मुक्त कर ..भारत माँ के कोटि कोटि जन के आँसू पोंछेगी,height neech politics free India last 60 years misrule vote bank politics Mother India wipe tears crores people,height neech politics free India last 60 years misrule vote bank politics Mother India wipe tears crores people,height neech politics free india years misrule vote bank politics mother india wipe tear crores people
2014-05-06 03:49:41+00:00,narendramodi,"हो सकता है कुछ लोगों को यह नजर नहीं आता हो पर निचली जातियों के त्याग, बलिदान और पुरुषार्थ की देश को इस ऊँचाई पर पहुँचाने में अहम भूमिका है |",Maybe people see sacrifice sacrifice efforts lower castes important role taking country height,Maybe people see sacrifice sacrifice efforts lower castes important role taking country height,maybe people sacrifice sacrifice efforts lower cast important role take country height
